"Number","Title","State","Milestone","Labels","Assignees","Created","Updated","URL","Body"
"1493","Add the new source summary endpoints to OCL Docs","OPEN","(none)","documentation, infra, reviewed/keep","paynejd, snyaggarwal","2023-02-24","2026-03-27","https://github.com/OpenConceptLab/ocl_issues/issues/1493","See #1467 for details  Additional Tickets:  #1598  #1527  #1495  #1577  #1584 "
"1508","Setup limits on bulk imports","OPEN","(none)","enhancement, discussion-needed, api2, performance","rkorytkowski, paynejd, snyaggarwal","2023-03-09","2023-03-10","https://github.com/OpenConceptLab/ocl_issues/issues/1508","We need to agree on some limits e.g. per user on how much data can be imported in a given period of time and enforce them. It is to prevent from putting too much load on the system.  We could enable some users to go above the limits.  @paynejd @snyaggarwal @jamlung-ri "
"1522","Deep linking","OPEN","(none)","Design, V3","snyaggarwal, paulsonder","2023-03-21","2023-07-18","https://github.com/OpenConceptLab/ocl_issues/issues/1522","**Goals** - URL in the web browser should generally update to current view throughout the TermBrowser - Copy/pasting the above URL should load the same view, even if user starts a new session, starts not signed in, etc. - Where the above isn't easy to accomplish, make it easy get a copy of a URL in the TermBrowser - Links where users may want to right click to copy a URL, the TermBrowser UI components should make this easy -- there are places now where this doesn't work - Ability to reference a specific synonym, attribute, mapping, etc. of a concept - While we're doing this, where a user may want to select and copy text (e.g. concept ID, name, mapping code/name/source), the TermBrowser UI components should make this easy -- there are some places now where this isn't easy because selecting the text results in some type of action  Do the above prioritizing key resources, including: - concept/mapping and concept/mapping within a source/collection version (specifically NOT prioritizing concept/mapping version) - source/collection and source/collection version - org - user  cc @bmamlin "
"1555","Draft operations panel documentation","OPEN","(none)","documentation, V3","paynejd, snyaggarwal, jamlung-ri","2023-04-18","2024-07-18","https://github.com/OpenConceptLab/ocl_issues/issues/1555","Servers: - Types of server connections supported (e.g. OCL, OCL FHIR, SVCM, ICD11 FHIR) - Operations supported for each server type   - OCL: $resolveReference, $cascade, $checksum   - SVCM: $lookup, $translate, $validate-code, ...   - Not supported in operations panel: $clone, $expand  Authentication: - Operations panel is only available to authenticated users - Token is included in request header for the current server only; for other servers, requests are anonymous  @snyaggarwal @jamlung-ri Feel free to add any ideas for ops panel documentation here"
"1581","Public documentation for Collection Reference evaluation logic","OPEN","(none)","documentation, reviewed/keep","paynejd, snyaggarwal","2023-05-16","2026-03-27","https://github.com/OpenConceptLab/ocl_issues/issues/1581","A few resources: - Ticket to resolve the reference evaluation out of memory issue: #1580 - https://github.com/OpenConceptLab/ocl-docs/blob/main/docs/source/oclapi/apireference/resolveReference.md - Canonical URLs documentation: https://docs.google.com/document/d/1zrQOQBC868uRdrZA-mhzvNzsepVYFhHrMDuJU7mKRjY/edit#heading=h.pvobb1bu30xm - Documentation folder: https://drive.google.com/drive/u/0/folders/13h06tIbmPv_ycFlFs897OaCWEPV3Gg7O  "
"1596","Update CSV Bulk Import to catch up with new features","OPEN","(none)","api2, bulk-import","paynejd, snyaggarwal, jamlung-ri","2023-06-09","2024-03-12","https://github.com/OpenConceptLab/ocl_issues/issues/1596","OCL dev tools' CSV Bulk Importer needs to catch up to the latest features  Related changes: * #1550  * "
"1603","Dynamically populate display_name based on request header","OPEN","(none)","api2, ES","snyaggarwal","2023-07-05","2024-03-26","https://github.com/OpenConceptLab/ocl_issues/issues/1603","A concept's display name is populated based on the settings of the repository and the names available for a concept.  To get ready for multi-lingual capabilities, we want to add the ability to provide a language preference in the request header for a concept. The language preference will be considered (along with the repository settings and names available in a concept) when dynamically populating the concept display_name and display_locale. As part of this, we want the API to also indicate unambiguously which name/synonym was set as the display_name (e.g. by adding a display_name_id field?)  The default behavior (i.e. when no language preference is provided in the request header) will remain unchanged. Meaning, we can deploy this in production with no changes to the TermBrowser.  Steps to completion: - [ ] Summarize logic used to populate the display_name (here in the ticket is fine -- we'll add to the concept page in OCL Docs) - [ ] Draft updated logic for populating display_name to include language preference provided with a request - [ ] Update API endpoint(s) to accept the language preference request header - [ ] Implement new logic for populating display_name - [ ] Update ES index as required to support new behavior - [ ] Add `display_name_id` (or another attribute as determined) to unambiguously identify which name was used as the display name  Questions: - Is language preference only a single value or possibly a list?"
"1610","Use canonical URL where possible in the ""system"" field of a ValueSet","OPEN","(none)","fhir, reviewed/keep","rkorytkowski","2023-07-12","2026-03-24","https://github.com/OpenConceptLab/ocl_issues/issues/1610","The ""system"" field in the ValueSet is using OCL's relative URL, not the ValueSet's canonical URL (e.g. ""system"": ""/orgs/CIEL/ValueSet/CIEL/"") (see here for example: https://fhir.staging.openconceptlab.org/orgs/MER_SMART_Guidelines/ValueSet/art-medications/?version=v3) - In the example, I would expect CIEL's canonical URL ""https://cielterminology.org/"" to appear in the system field.  ![image](https://github.com/OpenConceptLab/ocl_issues/assets/55999682/da32c3de-7e7f-4660-9ffd-8194f1a280f4) "
"1614","Change requests and management","OPEN","(none)","Design, V3","jamlung-ri, paulsonder","2023-07-18","2023-07-18","https://github.com/OpenConceptLab/ocl_issues/issues/1614","As part of the IA work for V3, we discovered an Object to represent and manage changes to Concepts and other content in OCL.  "
"1653","Track request source of a POST/PUT","OPEN","(none)","enhancement, api2, analytics","","2023-08-30","2024-03-12","https://github.com/OpenConceptLab/ocl_issues/issues/1653","It would be really helpful to know how a resource was created/updated, e.g.: - TermBrowser UI - Bulk import - Another client - Direct API request - etc.  While we may want to implement this for any resource that records the user and timestamp of creates/updates, the immediate priority is concept versions and mapping versions.  cc @snyaggarwal -- Should we pull the trigger on this or would discussion be helpful?"
"1657","Better handle invalid import JSON/CSV errors","OPEN","(none)","api2, bulk-import","rkorytkowski, paynejd, snyaggarwal","2023-09-06","2023-09-06","https://github.com/OpenConceptLab/ocl_issues/issues/1657",""
"1666","Introduce ""Synonym"" name type and remove ""None"" name type","OPEN","(none)","openmrs, api2, breaking-change, reviewed/keep","","2023-09-14","2026-03-27","https://github.com/OpenConceptLab/ocl_issues/issues/1666","Currently, OCL [name types](https://app.openconceptlab.org/#/orgs/OCL/sources/NameTypes/) include `None` and do not have an entry for `Synonym`.  **Problem with `None`**: Since name type is optional, the difference between `None` and `null` is not defined and, as long as `None` exists, will cause headaches & confusion.  **`Synonym` as default**: an alternate name for a concept implies the very definition of [synonym](https://www.dictionary.com/browse/synonym), so it's natural to assume any name where name type is not specified is a synonym.  1. Purge the [None name type](https://app.openconceptlab.org/#/orgs/OCL/sources/NameTypes/concepts/None/). Any existing data using the `None` name type can be converted to `null`.  2. Add a `Synonym` name type and start treating `null` & `Synonym` the same (i.e., assuming a name of unknown type is an alternate name ΓÇô a.k.a. synonym).  3. Optionally, once the codebase is treating `null` & `Synonym` the same, then we could elect to make name type required (converting all existing `null` entries to `Synonym`)."
"1691","Checksums: Addressing the details","OPEN","(none)","discussion-needed, V3","bmamlin, paynejd, snyaggarwal","2023-11-13","2024-04-28","https://github.com/OpenConceptLab/ocl_issues/issues/1691","Examples: * How we are using checksums to differentiate between two concepts e.g. the comparison tool? * How do Checksums affect or interact with concepts with mappings?"
"1697","Standardizing Lookup Fields - Approaches for cleaning up data in OCL","OPEN","(none)","Epic, V3, v3-foundation, reviewed/keep","","2023-11-14","2026-03-27","https://github.com/OpenConceptLab/ocl_issues/issues/1697",""
"1706","Walled Garden and Trusted Sources","OPEN","(none)","Epic, V3","","2023-12-04","2024-03-15","https://github.com/OpenConceptLab/ocl_issues/issues/1706","Overall, the goal is for users to be exposed primarily to content that is most relevant to them, allowing them to see more Reference Content like CIEL and LOINC, and less of all the other stuff that everyone is doing (unless that is the intended goal of the user to see other example content).  It is unclear if this will be part of V3 quite yet or to what extent.  Existing documentation here: https://docs.google.com/document/d/1zrQOQBC868uRdrZA-mhzvNzsepVYFhHrMDuJU7mKRjY/edit#heading=h.wl2btr79egq1  Related to Canonical URLs work."
"1711","Update mapping documentation for canonical URLs","OPEN","(none)","documentation, reviewed/keep","paynejd","2023-12-08","2026-03-27","https://github.com/OpenConceptLab/ocl_issues/issues/1711","First round of edits completed here: https://docs.openconceptlab.org/en/latest/oclapi/apireference/mappings.html  Additional changes needed: - Add to the Overview:   - [ ] New Auto-ID behavior (see [here](https://docs.openconceptlab.org/en/latest/oclapi/apireference/sources.html#create-source))   - [ ] Sort weight   - [ ] Support canonical URLs   - [ ] How to interact with OCL mappings via the OCL FHIR Core (and vice versa) - [x] Confirm whether repo version can be specified separately or inline for each of the 3 approaches - [ ] Update all examples to use canonical URLs - [ ] Update response examples with all of the new fields - [ ] Add OpenMRS specific examples  Here's an example API resource: https://api.qa.openconceptlab.org/orgs/CIEL/sources/CIEL/concepts/164505/?includeMappings=true"
"1723","Upgrade to Django 5","OPEN","(none)","enhancement, api2, tech debt","snyaggarwal","2023-12-26","2024-03-12","https://github.com/OpenConceptLab/ocl_issues/issues/1723","Release Notes -- https://docs.djangoproject.com/en/5.0/releases/5.0/"
"1730","Upgrade to python3.12","OPEN","(none)","enhancement, api2, reviewed/keep","snyaggarwal","2024-01-08","2026-03-27","https://github.com/OpenConceptLab/ocl_issues/issues/1730","https://www.python.org/downloads/release/python-3121/"
"1740","Maintain original casing for facets in filter panel","OPEN","(none)","api2, ES","snyaggarwal","2024-01-16","2024-03-12","https://github.com/OpenConceptLab/ocl_issues/issues/1740","This also impacts the Repo Summary -- are there other places in the app that this will impact too?  @snyaggarwal will document fields where we change casing while indexing"
"1746","Only create new concept/mapping version if the resource has changed","OPEN","(none)","enhancement, api2, breaking-change, documentation-needed","paynejd, snyaggarwal","2024-01-29","2024-04-29","https://github.com/OpenConceptLab/ocl_issues/issues/1746","Whether updating a single resource in the UI or the API, or performing a bulk import that is updating an existing repo (e.g. like CIEL), a concept or mapping's standard checksum should indicate whether or not the resource in the request represents a change. If there is a change, then the API should proceed as usual and attempt to update the resource (with no change to the response codes that are currently used). However if there is no change (i.e. the standard checksums are equal), then the API should not update the resource and it should return a different response code.  Which response code? - 409 conflict - 304 not modified  Neither of these seem quite right though because it's not an error or a redirect. I would think that it should be a 2** code, possibly with a response header to give more info?"
